Mart Name,Data Title,Data Link
Commodity Trade Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Commodity Trade Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Commodity Trade Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Commodity Trade Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Commodity Trade Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Demographic Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Demographic Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Demographic Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Demographic Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Demographic Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Energy Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Energy Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Energy Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Energy Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Energy Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Environment Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Environment Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Environment Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Environment Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Environment Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
FAOSTAT,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
FAOSTAT,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
FAOSTAT,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
FAOSTAT,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
FAOSTAT,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Gender Info,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Gender Info,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Gender Info,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Gender Info,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Gender Info,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Greenhouse Gas Inventory Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Greenhouse Gas Inventory Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Greenhouse Gas Inventory Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Greenhouse Gas Inventory Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Greenhouse Gas Inventory Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Homicide Statistics,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Homicide Statistics,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Homicide Statistics,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Homicide Statistics,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Homicide Statistics,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Human Development Indices: A statistical update 2022,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Human Development Indices: A statistical update 2022,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Human Development Indices: A statistical update 2022,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Human Development Indices: A statistical update 2022,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Human Development Indices: A statistical update 2022,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Indicators on Women and Men,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Indicators on Women and Men,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Indicators on Women and Men,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Indicators on Women and Men,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Indicators on Women and Men,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
INDSTAT,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
INDSTAT,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
INDSTAT,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
INDSTAT,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
INDSTAT,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Industrial Commodity Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Industrial Commodity Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Industrial Commodity Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Industrial Commodity Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Industrial Commodity Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
International Financial Statistics,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
International Financial Statistics,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
International Financial Statistics,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
International Financial Statistics,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
International Financial Statistics,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
"Key Indicators of the Labour Market, 7th Edition",Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
"Key Indicators of the Labour Market, 7th Edition",Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
"Key Indicators of the Labour Market, 7th Edition",Part-time employment,http://data.un.org/DocumentData.aspx?id=340
"Key Indicators of the Labour Market, 7th Edition",Teaching staff,http://data.un.org/DocumentData.aspx?id=338
"Key Indicators of the Labour Market, 7th Edition",Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
LABORSTA,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
LABORSTA,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
LABORSTA,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
LABORSTA,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
LABORSTA,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
National Accounts Estimates of Main Aggregates,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
National Accounts Estimates of Main Aggregates,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
National Accounts Estimates of Main Aggregates,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
National Accounts Estimates of Main Aggregates,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
National Accounts Estimates of Main Aggregates,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
National Accounts Official Country Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
National Accounts Official Country Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
National Accounts Official Country Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
National Accounts Official Country Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
National Accounts Official Country Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
OECD Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
OECD Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
OECD Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
OECD Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
OECD Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
The State of the World’s Children,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
The State of the World’s Children,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
The State of the World’s Children,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
The State of the World’s Children,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
The State of the World’s Children,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
UIS Data Centre,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
UIS Data Centre,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
UIS Data Centre,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
UIS Data Centre,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
UIS Data Centre,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
UNAIDS Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
UNAIDS Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
UNAIDS Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
UNAIDS Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
UNAIDS Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
UNHCR Statistical Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
UNHCR Statistical Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
UNHCR Statistical Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
UNHCR Statistical Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
UNHCR Statistical Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
WHO Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
WHO Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
WHO Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
WHO Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
WHO Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Contraceptive Use,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Contraceptive Use,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Contraceptive Use,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Contraceptive Use,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Contraceptive Use,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Development Indicators,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Development Indicators,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Development Indicators,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Development Indicators,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Development Indicators,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Fertility Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Fertility Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Fertility Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Fertility Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Fertility Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Marriage Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Marriage Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Marriage Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Marriage Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Marriage Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Meteorological Organization Standard Normals,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Meteorological Organization Standard Normals,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Meteorological Organization Standard Normals,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Meteorological Organization Standard Normals,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Meteorological Organization Standard Normals,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Population Prospects: The 2022 Revision,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Population Prospects: The 2022 Revision,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Population Prospects: The 2022 Revision,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Population Prospects: The 2022 Revision,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Population Prospects: The 2022 Revision,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Telecommunication/ICT Indicators Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Telecommunication/ICT Indicators Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Telecommunication/ICT Indicators Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Telecommunication/ICT Indicators Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Telecommunication/ICT Indicators Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Telecommunication/ICT Indicators Table,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Telecommunication/ICT Indicators Table,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Telecommunication/ICT Indicators Table,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Telecommunication/ICT Indicators Table,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Telecommunication/ICT Indicators Table,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
World Tourism Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
World Tourism Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
World Tourism Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
World Tourism Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
World Tourism Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
